,TRUE,Pre,Error,True070414,True070409,True07040430,true3625,pred3625,error3625,true3859,pred3859,error3859
7598,0,0.07309,0.07309,0,0,0,0,0.11064793,0.11064793169498444,0,0.39369205,0.3936920464038849
7599,2,3.44245,1.44245,6,6,2,0,1.4827137,1.4827136993408203,7,6.8806257,0.11937427520751953
7600,2,1.60006,0.39994,2,0,0,1,0.6937197,0.30628031492233276,3,2.7907963,0.20920372009277344
7601,1,0.42552,0.57448,0,0,0,0,0.2517277,0.2517277002334595,0,1.1387064,1.1387064456939697
7602,3,1.79551,1.20449,3,3,0,0,0.77654356,0.7765435576438904,1,2.4011366,1.4011366367340088
7603,0,0.03814,0.03814,1,0,0,0,0.060050335,0.06005033478140831,0,0.21366271,0.21366271376609802
7604,0,0.00028,0.00028,0,0,0,0,0.013220197,0.013220196589827538,0,0.061142974,0.061142973601818085
7605,0,0.06579,0.06579,0,0,0,0,0.06152432,0.061524320393800735,0,0.2466772,0.2466772049665451
7606,5,2.5848299999999997,2.4151700000000003,6,4,0,0,1.112751,1.1127510070800781,3,5.16379,2.163790225982666
7607,0,0.00067,0.00067,0,0,0,0,0.0,0.0,0,0.0,0.0
7608,2,2.8907,0.8907,6,3,1,0,1.091927,1.0919270515441895,7,5.4188957,1.5811042785644531
7609,0,0.88918,0.88918,0,2,1,0,0.6719678,0.6719678044319153,0,2.3202739,2.3202738761901855
7610,0,2.79222,2.79222,4,4,0,0,0.88807684,0.8880768418312073,2,4.9587855,2.9587855339050293
7611,0,2.1937,2.1937,3,4,0,0,0.7944171,0.7944170832633972,3,4.1542063,1.1542062759399414
7612,0,0.0047799999999999995,0.0047799999999999995,1,0,0,0,0.28365073,0.2836507260799408,1,1.1411114,0.1411113739013672
7613,0,0.02437,0.02437,0,0,0,0,0.022665283,0.02266528271138668,0,0.090874776,0.09087477624416351
7614,0,2.45933,2.45933,4,3,0,0,0.8879,0.8878999948501587,2,4.643052,2.643052101135254
7615,0,0.0018100000000000002,0.0018100000000000002,0,1,0,0,0.14042187,0.14042186737060547,2,1.0860268,0.9139732122421265
7616,0,0.0035299999999999997,0.0035299999999999997,1,0,0,0,0.20758103,0.207581028342247,0,0.96088374,0.9608837366104126
7617,1,0.63188,0.36812,0,0,0,1,0.26201418,0.7379858195781708,1,1.1116267,0.11162674427032471
7618,3,3.56386,0.56386,4,5,2,0,1.4616568,1.4616568088531494,6,6.6118984,0.6118984222412109
7619,1,0.40815999999999997,0.5918399999999999,1,2,0,1,0.23031978,0.7696802169084549,2,1.1172845,0.8827154636383057
7620,0,0.6583600000000001,0.6583600000000001,0,1,0,0,0.3364776,0.3364776074886322,1,1.4705098,0.47050976753234863
7621,0,0.4246,0.4246,0,0,0,1,0.10656879,0.8934312090277672,0,0.41752884,0.41752883791923523
7622,0,0.6883699999999999,0.6883699999999999,0,1,0,1,0.2567293,0.7432706952095032,0,0.79382807,0.7938280701637268
7623,0,0.00662,0.00662,0,1,0,1,0.11281859,0.8871814087033272,2,0.4420151,1.5579848885536194
7624,0,0.12921,0.12921,0,0,0,0,0.070516616,0.07051661610603333,0,0.21065582,0.2106558233499527
7625,3,1.55944,1.44056,1,2,0,0,0.63671803,0.6367180347442627,1,1.9468938,0.9468938112258911
7626,0,0.37182,0.37182,2,0,0,0,0.11372442,0.11372441798448563,0,0.35573387,0.35573387145996094
7627,4,5.15489,1.15489,8,5,0,0,1.6834352,1.6834352016448975,7,5.357695,1.6423048973083496
7628,0,0.00742,0.00742,0,0,0,0,0.12187459,0.12187459319829941,1,0.3296702,0.6703298091888428
7629,0,0.011890000000000001,0.011890000000000001,0,0,0,0,0.0,0.0,0,0.0,0.0
7630,4,6.26242,2.26242,7,14,1,0,2.1377585,2.137758493423462,7,6.8964705,0.10352945327758789
7631,3,1.6260299999999999,1.3739700000000001,2,2,1,0,0.65316856,0.6531685590744019,1,1.9547055,0.9547054767608643
7632,0,0.021509999999999998,0.021509999999999998,0,0,0,0,0.12542659,0.12542659044265747,0,0.51557577,0.5155757665634155
7633,0,0.024480000000000002,0.024480000000000002,0,1,0,0,0.0,0.0,1,0.0,1.0
7634,3,1.46656,1.53344,1,3,1,1,0.6308488,0.36915117502212524,2,1.6819059,0.3180941343307495
7635,0,0.0034,0.0034,0,0,0,0,0.15143627,0.15143626928329468,0,0.34315568,0.3431556820869446
7636,2,2.88097,0.88097,3,3,1,0,1.084522,1.084522008895874,3,3.245596,0.24559593200683594
7637,0,0.33093,0.33093,1,1,0,0,0.18335474,0.18335473537445068,1,0.6313786,0.3686214089393616
7638,2,0.00228,2.00228,0,0,0,0,0.21747094,0.2174709439277649,0,0.43121523,0.43121522665023804
7639,9,3.33311,5.66689,4,5,2,0,1.6761556,1.6761555671691895,4,3.5842433,0.4157567024230957
7640,0,0.01644,0.01644,0,0,0,0,0.08870505,0.08870504796504974,0,0.28036556,0.28036555647850037
7641,0,0.62532,0.62532,1,1,0,0,0.26250753,0.26250752806663513,0,0.9613135,0.9613134860992432
7642,0,0.00032,0.00032,0,0,0,0,0.0,0.0,0,0.0,0.0
7643,0,0.020059999999999998,0.020059999999999998,0,0,0,0,0.0,0.0,0,0.0,0.0
7644,1,0.00078,1.00078,0,0,0,0,0.0,0.0,0,0.0,0.0
7645,3,5.36752,2.3675200000000003,7,5,2,3,2.1324117,0.8675882816314697,7,8.914281,1.914280891418457
7646,1,1.11385,0.11385,2,3,0,3,0.51277274,2.4872272610664368,1,1.7685803,0.7685803174972534
7647,7,6.3410400000000005,0.65896,6,7,2,0,2.2321293,2.2321293354034424,8,9.690419,1.6904191970825195
7648,1,3.2643400000000002,2.2643400000000002,4,5,0,1,1.1961539,0.19615387916564941,2,4.020582,2.0205821990966797
7649,0,0.013859999999999999,0.013859999999999999,0,0,0,0,0.0,0.0,0,0.0,0.0
7650,0,0.005229999999999999,0.005229999999999999,0,0,0,0,0.0,0.0,0,0.0,0.0
7651,0,0.00563,0.00563,0,0,0,0,0.06906466,0.069064661860466,0,0.2182892,0.21828919649124146
7652,8,6.69815,1.30185,5,4,2,3,2.3657608,0.6342391967773438,10,10.270558,0.27055835723876953
7653,0,0.17048,0.17048,0,0,0,0,0.15368019,0.15368019044399261,0,0.42594036,0.4259403645992279
7654,0,0.9482200000000001,0.9482200000000001,0,0,0,0,0.40506566,0.405065655708313,0,1.4197617,1.4197616577148438
7655,3,2.38053,0.61947,0,2,0,3,1.5514189,1.4485810995101929,0,2.4908504,2.4908504486083984
7656,3,1.87083,1.12917,2,1,0,1,1.7193472,0.7193472385406494,3,2.2011786,0.7988214492797852
7657,0,0.007540000000000001,0.007540000000000001,0,0,0,0,0.13860022,0.1386002153158188,0,0.22835933,0.22835932672023773
7658,0,0.0034799999999999996,0.0034799999999999996,0,0,0,0,0.059269402,0.05926940217614174,0,0.09785935,0.09785935282707214
7659,1,1.7478599999999997,0.7478600000000001,0,0,1,1,0.4486944,0.5513055920600891,2,1.563136,0.4368640184402466
7660,0,0.00027,0.00027,0,0,0,0,0.0,0.0,0,0.0,0.0
7661,0,0.01025,0.01025,0,0,0,0,0.0,0.0,0,0.0,0.0
7662,0,1.34851,1.34851,1,2,0,0,0.30411094,0.30411094427108765,0,1.1838468,1.1838468313217163
7663,1,1.4025299999999998,0.40253,2,2,1,0,0.45345515,0.4534551501274109,3,1.2115632,1.788436770439148
7664,0,0.00217,0.00217,0,0,0,0,0.0,0.0,0,0.0,0.0
7665,1,0.17754,0.8224600000000001,1,0,0,0,0.11411499,0.11411499232053757,0,0.47969916,0.47969916462898254
7666,0,0.00274,0.00274,0,0,0,0,0.0,0.0,0,0.0,0.0
7667,0,1.2733,1.2733,5,1,1,2,0.38737777,1.612622231245041,0,1.8296001,1.8296000957489014
7668,1,1.2147,0.2147,5,0,0,0,0.6207774,0.620777428150177,5,2.8555377,2.1444623470306396
7669,0,0.50949,0.50949,0,1,0,1,0.12046152,0.8795384764671326,2,1.2162346,0.783765435218811
7670,0,0.6526,0.6526,1,2,0,0,0.104278885,0.10427888482809067,0,1.0835944,1.0835944414138794
7671,0,0.18128,0.18128,0,0,0,0,0.099976465,0.09997646510601044,0,0.43092784,0.4309278428554535
7672,0,0.80994,0.80994,1,1,0,1,0.24224822,0.7577517777681351,3,1.1441478,1.8558522462844849
7673,0,1.26134,1.26134,4,0,1,1,0.51106167,0.4889383316040039,2,1.8001207,0.19987928867340088
7674,0,0.0043100000000000005,0.0043100000000000005,0,0,0,0,0.0,0.0,0,0.0,0.0
7675,0,0.00808,0.00808,0,2,0,0,0.109107345,0.10910734534263611,0,0.8102026,0.8102025985717773
7676,2,0.00554,2.0055400000000003,2,0,0,0,0.2504959,0.25049591064453125,3,2.036293,0.9637069702148438
7677,0,0.23066,0.23066,1,0,0,0,0.091032974,0.091032974421978,0,0.60342294,0.6034229397773743
7678,2,1.6980000000000002,0.302,3,3,0,0,0.32997268,0.32997268438339233,1,2.6823635,1.682363510131836
7679,4,3.76904,0.23096,6,9,3,3,1.4712834,1.5287165641784668,10,6.305488,3.694511890411377
7680,3,0.005679999999999999,3.00568,3,0,0,0,0.29553437,0.2955343723297119,3,2.451354,0.5486459732055664
7681,1,0.74911,0.25089,4,1,0,0,0.36985376,0.36985376477241516,0,1.414933,1.4149329662322998
7682,0,0.73847,0.73847,3,1,1,0,0.2573058,0.2573058009147644,4,1.3833066,2.616693377494812
7683,2,2.28888,0.28888,4,1,0,0,0.9379803,0.9379802942276001,4,3.752293,0.24770689010620117
7684,0,0.00165,0.00165,0,0,0,0,0.0,0.0,0,0.0,0.0
7685,0,0.00371,0.00371,0,0,0,0,0.18531972,0.185319721698761,0,0.6476308,0.6476308107376099
